iter	Passed	Remaining
282	505	1280
283	506	1277
284	508	1275
285	509	1272
286	510	1268
287	511	1265
288	512	1261
289	513	1258
290	515	1254
291	516	1251
292	517	1247
293	518	1244
294	519	1241
295	520	1237
296	521	1233
297	522	1230
298	523	1227
299	524	1224
300	525	1221
301	526	1218
302	528	1214
303	529	1211
304	530	1208
305	531	1205
306	532	1201
307	533	1198
308	534	1195
309	535	1192
310	536	1189
311	537	1186
312	539	1183
313	540	1180
314	541	1177
315	542	1173
316	543	1170
317	544	1167
318	545	1164
319	546	1162
320	547	1159
321	548	1155
322	549	1152
323	550	1149
324	552	1146
325	553	1143
326	554	1140
327	555	1137
328	556	1135
329	568	1154
330	569	1151
331	570	1148
332	571	1145
333	572	1141
334	573	1139
335	575	1136
336	576	1133
337	577	1130
338	578	1127
339	579	1124
340	580	1121
341	581	1118
342	582	1115
343	583	1112
344	584	1109
345	585	1106
346	586	1103
347	587	1101
348	588	1098
349	589	1095
350	590	1092
351	591	1089
352	593	1086
353	594	1084
354	595	1081
355	596	1078
356	597	1075
357	598	1073
358	599	1070
359	600	1067
360	601	1065
361	602	1062
362	604	1060
363	605	1057
364	606	1055
365	607	1052
366	608	1049
367	609	1046
368	610	1044
369	611	1041
370	612	1038
371	613	1036
372	614	1033
373	615	1030
374	617	1028
375	618	1026
376	619	1023
377	620	1020
378	621	1018
379	622	1016
380	623	1013
381	624	1011
382	626	1008
383	627	1006
384	628	1004
385	630	1002
386	631	1000
387	632	997
388	633	994
389	634	991
390	635	989
391	636	987
392	637	984
393	638	982
394	639	979
395	640	977
396	643	976
397	644	974
398	645	972
399	646	969
400	647	967
401	648	964
402	649	962
403	650	960
404	652	957
405	653	955
406	654	953
407	655	951
408	656	948
409	657	946
410	659	944
411	660	942
412	661	940
413	662	937
414	663	935
415	664	933
416	665	930
417	672	936
418	673	933
419	674	931
420	675	929
421	677	927
422	678	925
423	679	923
424	681	921
425	682	919
426	683	917
427	684	915
428	686	913
429	687	910
430	688	908
431	689	906
432	690	903
433	691	901
434	692	899
435	693	897
436	694	894
437	695	892
438	696	890
439	697	888
440	699	886
441	700	883
442	701	881
443	702	879
444	703	877
445	704	874
446	705	872
447	706	870
448	707	868
449	708	865
450	709	863
451	710	861
452	711	859
453	712	857
454	713	855
455	715	853
456	716	851
457	718	850
458	719	848
459	720	846
460	722	844
461	723	842
462	724	840
463	725	838
464	726	836
465	728	834
466	729	832
467	730	830
468	731	828
469	732	826
470	734	824
471	735	823
472	737	821
473	738	819
474	739	817
475	740	815
476	741	813
477	743	811
478	744	809
479	746	808
480	747	806
481	748	804
482	749	802
483	750	800
484	751	798
485	753	796
486	754	794
487	755	792
488	756	790
489	758	788
490	759	786
491	760	784
492	761	783
493	762	781
494	763	779
495	764	777
496	765	775
497	767	773
498	768	771
499	769	769
500	770	767
501	771	765
502	772	763
503	773	761
504	774	759
505	776	757
506	777	755
507	778	753
508	779	751
509	780	749
510	781	747
511	782	746
512	784	744
513	785	742
514	786	740
515	787	738
516	788	736
517	789	734
518	791	733
519	806	744
520	807	742
521	808	740
522	809	738
523	810	736
524	812	734
525	813	733
526	814	731
527	815	729
528	816	727
529	818	725
530	818	723
531	819	721
532	821	719
533	822	717
534	823	715
535	824	713
536	825	711
537	826	710
538	828	708
539	829	706
540	830	704
541	831	702
542	832	700
543	833	698
544	834	696
545	836	695
546	837	693
547	838	691
548	839	689
549	840	687
550	841	686
551	843	684
552	844	682
553	845	680
554	846	678
555	847	677
556	848	675
557	850	673
558	851	671
559	852	669
560	853	668
561	880	686
562	882	684
563	883	682
564	884	680
565	885	678
566	886	677
567	887	675
568	888	673
569	890	671
570	891	669
571	892	667
572	893	665
573	894	663
574	895	661
575	896	660
576	897	658
577	898	656
578	899	654
579	901	652
580	902	650
581	903	648
582	904	647
583	905	645
584	906	643
585	908	641
586	909	639
587	910	637
588	911	635
589	912	634
590	913	632
591	914	630
592	915	628
593	917	626
594	918	624
595	919	623
596	920	621
597	921	619
598	922	617
599	923	615
600	925	614
601	926	612
602	928	611
603	929	609
604	931	607
605	932	606
606	933	604
607	934	602
608	936	601
609	937	599
610	939	597
611	940	596
612	941	594
613	943	592
614	944	591
615	945	589
616	946	587
617	947	585
618	948	583
619	949	582
620	950	580
621	951	578
622	952	576
623	953	574
624	955	573
625	956	571
626	957	569
627	958	567
628	959	565
629	960	564
630	961	562
631	962	560
632	963	558
633	964	556
634	965	555
635	967	553
636	968	552
637	969	550
638	971	548
639	972	547
640	973	545
641	974	543
642	976	541
643	977	540
644	978	538
645	979	536
646	981	535
647	982	533
648	983	531
649	984	530
650	985	528
651	986	526
652	987	524
653	988	523
654	989	521
655	990	519
656	991	517
657	992	516
658	993	514
659	995	512
660	996	510
661	997	509
662	998	507
663	999	505
664	1000	504
665	1001	502
666	1002	500
667	1003	498
668	1005	497
669	1006	495
670	1007	493
671	1008	492
672	1009	490
673	1010	488
674	1028	495
675	1029	493
676	1030	491
677	1031	490
678	1032	488
679	1033	486
680	1035	484
681	1036	483
682	1037	481
683	1038	479
684	1039	478
685	1040	476
686	1042	474
687	1043	473
688	1044	471
689	1045	469
690	1046	467
691	1047	466
692	1048	464
693	1049	462
694	1050	461
695	1051	459
696	1052	457
697	1053	455
698	1054	454
699	1056	452
700	1057	450
701	1058	449
702	1059	447
703	1060	446
704	1061	444
705	1062	442
706	1063	440
707	1065	439
708	1066	437
709	1067	435
710	1068	434
711	1069	432
712	1070	430
713	1071	429
714	1072	427
715	1073	425
716	1075	424
717	1076	422
718	1077	421
719	1078	419
720	1079	417
721	1080	416
722	1081	414
723	1083	412
724	1084	411
725	1086	410
726	1087	408
727	1088	406
728	1090	405
729	1091	403
730	1092	402
731	1093	400
732	1094	398
733	1095	397
734	1097	395
735	1098	393
736	1099	392
737	1100	390
738	1101	389
739	1103	387
740	1104	385
741	1105	384
742	1106	382
743	1107	381
744	1108	379
745	1109	377
746	1110	376
747	1112	374
748	1113	373
749	1114	371
750	1115	369
751	1116	368
752	1117	366
753	1118	365
754	1120	363
755	1121	361
756	1122	360
757	1123	358
758	1124	357
759	1147	362
760	1162	365
761	1164	363
762	1165	361
763	1166	360
764	1167	358
765	1168	356
766	1169	355
767	1170	353
768	1171	351
769	1172	350
770	1173	348
771	1174	346
772	1175	345
773	1176	343
774	1177	341
775	1178	340
776	1180	338
777	1181	337
778	1182	335
779	1183	333
780	1184	332
781	1185	330
782	1186	328
783	1187	327
784	1188	325
785	1189	323
786	1190	322
787	1191	320
788	1192	318
789	1193	317
790	1194	315
791	1195	314
792	1196	312
793	1198	310
794	1199	309
795	1200	307
796	1201	305
797	1202	304
798	1203	302
799	1204	301
800	1205	299
801	1206	297
802	1222	299
803	1223	298
804	1224	296
805	1225	295
806	1226	293
807	1227	291
808	1228	290
809	1229	288
810	1230	286
811	1232	285
812	1233	283
813	1234	282
814	1235	280
815	1236	278
816	1237	277
817	1238	275
818	1239	273
819	1240	272
820	1242	270
821	1243	269
822	1244	267
823	1245	265
824	1246	264
825	1247	262
826	1248	261
827	1249	259
828	1250	257
829	1251	256
830	1252	254
831	1253	253
832	1254	251
833	1255	249
834	1256	248
835	1257	246
836	1258	245
837	1259	243
838	1261	241
839	1262	240
840	1263	238
841	1264	237
842	1265	235
843	1266	234
844	1267	232
845	1268	230
846	1269	229
847	1270	227
848	1272	226
849	1273	224
850	1274	223
851	1275	221
852	1276	220
853	1277	218
854	1279	216
855	1280	215
856	1281	213
857	1282	212
858	1283	210
859	1284	209
860	1285	207
861	1287	206
862	1288	204
863	1289	202
864	1290	201
865	1291	199
866	1292	198
867	1293	196
868	1294	195
869	1295	193
870	1296	192
871	1297	190
872	1299	188
873	1300	187
874	1301	185
875	1302	184
876	1303	182
877	1304	181
878	1305	179
879	1307	178
880	1308	176
881	1309	175
882	1310	173
883	1311	172
884	1312	170
885	1313	169
886	1314	167
887	1316	166
888	1317	164
889	1318	162
890	1319	161
891	1320	159
892	1321	158
893	1322	156
894	1323	155
895	1325	153
896	1326	152
897	1327	150
898	1328	149
899	1329	147
900	1331	146
901	1332	144
902	1333	143
903	1334	141
904	1335	140
905	1337	138
906	1338	137
907	1340	135
908	1341	134
909	1343	132
910	1344	131
911	1345	129
912	1346	128
913	1347	126
914	1348	125
915	1349	123
916	1350	122
917	1351	120
918	1353	119
919	1354	117
920	1355	116
921	1356	114
922	1357	113
923	1358	111
924	1360	110
925	1360	108
926	1362	107
927	1363	105
928	1364	104
929	1365	102
930	1366	101
931	1367	99
932	1368	98
933	1369	96
934	1370	95
935	1371	93
936	1372	92
937	1373	90
938	1374	89
939	1375	87
940	1377	86
941	1378	84
942	1379	83
943	1380	81
944	1381	80
945	1382	78
946	1384	77
947	1385	75
948	1386	74
949	1387	73
950	1388	71
951	1389	70
952	1390	68
953	1391	67
954	1393	65
955	1394	64
956	1395	62
957	1396	61
958	1398	59
959	1399	58
960	1400	56
961	1402	55
962	1403	53
963	1405	52
964	1406	51
965	1407	49
966	1408	48
967	1409	46
968	1410	45
969	1412	43
970	1413	42
971	1414	40
972	1415	39
973	1416	37
974	1417	36
975	1418	34
976	1418	33
977	1419	31
978	1420	30
979	1422	29
980	1423	27
981	1424	26
982	1425	24
983	1426	23
984	1427	21
985	1428	20
986	1429	18
987	1430	17
988	1432	15
989	1433	14
990	1434	13
991	1435	11
992	1436	10
993	1437	8
994	1438	7
995	1439	5
996	1440	4
997	1441	2
998	1442	1
999	1444	0
