iter	Logloss
0	0.6872131945
1	0.6804437078
2	0.6752374483
3	0.6703812443
4	0.6649520256
5	0.6602623087
6	0.6542944166
7	0.6480994614
8	0.6426089336
9	0.6377784645
10	0.6322727913
11	0.6274437204
12	0.6213942657
13	0.6180145256
14	0.61241719
15	0.6072823772
16	0.603527965
17	0.5988792109
18	0.5949997862
19	0.5904379684
20	0.5863617615
21	0.5819846283
22	0.5793126965
23	0.5747117481
24	0.5696547709
25	0.56464842
26	0.5612021849
27	0.5568866085
28	0.552360344
29	0.5483525938
30	0.5436548939
31	0.5408914641
32	0.5372897603
33	0.5349280435
34	0.5314353867
35	0.5276354315
36	0.5238115769
37	0.520467619
38	0.5169548737
39	0.5126659216
40	0.5086250439
41	0.5044035002
42	0.5009741998
43	0.4981373495
44	0.4945761999
45	0.4916624747
46	0.4881609965
47	0.4848246534
48	0.4813723751
49	0.4781585533
50	0.4752491595
51	0.4731454788
52	0.4708485065
53	0.467925414
54	0.4639859833
55	0.4610063081
56	0.4576494451
57	0.4541684953
58	0.4509701627
59	0.4478921131
60	0.4454178293
61	0.4419034864
62	0.4383056029
63	0.4362402402
64	0.4334672515
65	0.430872866
66	0.4272404106
67	0.4243152874
68	0.423046633
69	0.4200344432
70	0.4170921559
71	0.4141745995
72	0.4128968343
73	0.4096074256
74	0.4061810201
75	0.4032592044
76	0.40010687
77	0.397316536
78	0.3951015082
79	0.3924978658
80	0.3902412065
81	0.387886711
82	0.385551247
83	0.3835163873
84	0.38078043
85	0.3782683943
86	0.375325022
87	0.3731338849
88	0.3708598508
89	0.3682548532
90	0.3660009419
91	0.363859699
92	0.3619634687
93	0.3591640568
94	0.3568169502
95	0.3547061643
96	0.3521163787
97	0.349857668
98	0.3485324826
99	0.3461472646
100	0.3439996746
101	0.3415344763
102	0.339417022
103	0.3372582925
104	0.3349405699
105	0.333539051
106	0.3314646582
107	0.3292059011
108	0.3273438013
109	0.3254327138
110	0.3234673568
111	0.3216244283
112	0.3197629514
113	0.318212751
114	0.3168406912
115	0.3142231111
116	0.3123477704
117	0.3105188124
118	0.3085230095
119	0.3071843459
120	0.3058105718
121	0.3039706193
122	0.3020981161
123	0.300498041
124	0.2994259434
125	0.2972812264
126	0.2960612062
127	0.2946792104
128	0.2932619367
129	0.2917289217
130	0.2899992089
131	0.2885159579
132	0.2872237901
133	0.2855481171
134	0.2840513269
135	0.2829626645
136	0.2813368497
137	0.279679397
138	0.2780763328
139	0.2769235969
140	0.2758337906
141	0.2743149913
142	0.2734838523
143	0.2723623
144	0.2713198454
145	0.2697966785
146	0.2685906622
147	0.2672583051
148	0.2659945482
149	0.2648786048
150	0.263766973
151	0.262543268
152	0.2614251215
153	0.260538442
154	0.2591064368
155	0.2577635126
156	0.2562675771
157	0.2552291987
158	0.25412007
159	0.253624279
160	0.2522654467
161	0.2508049
162	0.2497199934
163	0.2484696282
164	0.2475699473
165	0.2463012461
166	0.2448252399
167	0.2441082241
168	0.2425591593
169	0.2414308364
170	0.2403730261
171	0.23918366
172	0.2377420791
173	0.2363212913
174	0.235279673
175	0.2340892307
176	0.2331487501
177	0.2319778932
178	0.2310668239
179	0.2300605398
180	0.2290605484
181	0.2279850141
182	0.2269826576
183	0.2262615854
184	0.2256052186
185	0.224633564
186	0.2235219373
187	0.2223489399
188	0.2211907296
189	0.2202267232
190	0.2192262213
191	0.21825512
192	0.2173487143
193	0.2167547331
194	0.2155504877
195	0.2143556399
196	0.2136526164
197	0.2124626383
198	0.2113736526
199	0.21054858
200	0.2095865266
201	0.2084996908
202	0.2077627964
203	0.2067413965
204	0.205903302
205	0.2050592278
206	0.2045182544
207	0.2036652641
208	0.2026535145
209	0.2014710073
210	0.2005742477
211	0.1996193837
212	0.1984722618
213	0.1973919779
214	0.1967981795
215	0.1957621457
216	0.1949271694
217	0.1938409229
218	0.1928906427
219	0.1921868287
220	0.191503006
221	0.1908472464
222	0.1900149684
223	0.1896351371
224	0.1888963478
225	0.1883184045
226	0.1874650455
227	0.1868703779
228	0.1860287316
229	0.1852713286
230	0.1846406955
231	0.1838076978
232	0.1828671249
233	0.1820906934
234	0.1813616069
235	0.1805553749
236	0.1800535768
237	0.1795227216
238	0.1792211631
239	0.1786585797
240	0.1779304459
241	0.1774098146
242	0.1767457778
243	0.1761719897
244	0.1752968838
245	0.1744868076
246	0.1741498385
247	0.1730980198
248	0.1724101783
249	0.1718502916
250	0.1712282275
251	0.1703417337
252	0.169625318
253	0.1688081869
254	0.168128672
255	0.1676409991
256	0.167555477
257	0.1668242795
258	0.166189127
259	0.1654359843
260	0.1648159024
261	0.1640865999
262	0.1635292869
263	0.1628803745
264	0.1621607346
265	0.1616735141
266	0.1610312864
267	0.1605011977
268	0.15991849
269	0.1594087527
270	0.1590795114
271	0.1583595505
272	0.157791758
273	0.1572414352
274	0.1566948554
275	0.155989131
276	0.1554624363
277	0.1552643971
278	0.154433597
279	0.1538917781
280	0.1532776615
281	0.1526280463
282	0.1520884593
283	0.1516114782
284	0.1509960906
285	0.1505363038
286	0.1499439036
287	0.149505987
288	0.1489864035
289	0.1484066113
290	0.1478660013
291	0.147373519
292	0.1468900477
293	0.1463675973
294	0.1458646617
295	0.1454122117
296	0.1449548484
297	0.1446165865
298	0.1442134207
299	0.1437774929
300	0.1432296696
301	0.1424910471
302	0.1420530318
303	0.1414795221
304	0.1410960349
305	0.1406505834
306	0.1400906716
307	0.1395856496
308	0.139278941
309	0.138853808
310	0.1385076295
311	0.1380611459
312	0.1375814217
313	0.1371663913
314	0.136686441
315	0.1361974617
316	0.1359008994
317	0.1354930192
318	0.1352982236
319	0.1350194064
320	0.1345502563
321	0.1340955276
322	0.133624448
323	0.1332818338
324	0.1328275107
325	0.132304823
326	0.1318869069
327	0.1314696629
328	0.1312792396
329	0.1307296489
330	0.1303268507
331	0.1299221367
332	0.1296018929
333	0.1291295607
334	0.1287181499
335	0.1283116484
336	0.1277732455
337	0.1274400905
338	0.1270309025
339	0.1265961341
340	0.1261722712
341	0.1258589193
342	0.1253351884
343	0.1247972989
344	0.1243766074
345	0.1240168036
346	0.123723257
347	0.1234471729
348	0.123098055
349	0.1226745881
350	0.1223105159
351	0.1219855319
352	0.1215887267
353	0.1212212149
354	0.1207937775
355	0.1204387373
356	0.1202153119
357	0.1197893447
358	0.1193950735
359	0.1191299698
360	0.118637816
361	0.1184916055
362	0.1181984434
363	0.1178376326
364	0.1175535967
365	0.1171711841
366	0.1168958763
367	0.1167195598
368	0.1163425186
369	0.1159621007
370	0.1155892883
371	0.1153688906
372	0.1149280702
373	0.1145991015
374	0.1143598421
375	0.1141402285
376	0.1137910915
377	0.1134489879
378	0.1131558452
379	0.1127593989
380	0.1126021693
381	0.1124266242
382	0.1121440378
383	0.1118957944
384	0.1115525537
385	0.1112628678
386	0.1110729416
387	0.1108350736
388	0.1105266329
389	0.1102331371
390	0.1099306344
391	0.1096345077
392	0.1092361269
393	0.1088799582
394	0.1084533284
395	0.1081392128
396	0.1076677426
397	0.1072838084
398	0.1070158234
399	0.106728384
400	0.1064936502
401	0.1060667767
402	0.1056231292
403	0.1053367588
404	0.1050193522
405	0.1047169779
406	0.1043687858
407	0.1041597859
408	0.1039004995
409	0.1036252388
410	0.1032767972
411	0.1029957651
412	0.1027129267
413	0.1024073736
414	0.1020055789
415	0.1018192367
416	0.1015581841
417	0.1013098371
418	0.1010765413
419	0.1007559187
420	0.1005023281
421	0.1003357526
422	0.09997893583
423	0.09976206813
424	0.09954357023
425	0.09928987384
426	0.09895510973
427	0.09862258959
428	0.09831398391
429	0.09819096051
430	0.09791624642
431	0.09767345835
432	0.09750225218
433	0.09719329904
434	0.09699234295
435	0.09671335941
436	0.09641637086
437	0.09614362136
438	0.09578457917
439	0.09549453826
440	0.09522223067
441	0.0949287839
442	0.09474040826
443	0.09445722472
444	0.09416251289
445	0.09384719208
446	0.09356890414
447	0.0933292113
448	0.09305471976
449	0.09273495977
450	0.09247556555
451	0.09220903986
452	0.09199305035
453	0.09172906399
454	0.0915168848
455	0.09124730598
456	0.09105801242
457	0.09075924835
458	0.09049161692
459	0.09026696163
460	0.08999377157
461	0.08966101167
462	0.08944886279
463	0.08930747585
464	0.08911846736
465	0.08893418045
466	0.08867427166
467	0.0884286858
468	0.0881388986
469	0.0879860171
470	0.08779903482
471	0.08766883436
472	0.08752519534
473	0.08727907618
474	0.08707040315
475	0.0868587972
476	0.08674741828
477	0.08648596246
478	0.08626574769
479	0.08602298137
480	0.08574697587
481	0.0853958721
482	0.08515702607
483	0.0849050114
484	0.08470605151
485	0.0844793252
486	0.08426805294
487	0.08402338612
488	0.08386125123
489	0.08367590118
490	0.08354825229
491	0.083378319
492	0.08314535525
493	0.08292569729
494	0.08264011291
495	0.08247734173
496	0.08221678289
497	0.08204788148
498	0.08188886798
499	0.08168080446
500	0.08144038258
501	0.08128162402
502	0.08111188646
503	0.08095159843
504	0.08074730335
505	0.08055651021
506	0.08032011771
507	0.08014573815
508	0.07995222031
509	0.07990001154
510	0.07974001478
511	0.07957432432
512	0.07944358748
513	0.07925517198
514	0.07906648983
515	0.07884228359
